name,dcid,link
West Bank and Gaza,*UNRESOLVED*,
Cabo Verde,*UNRESOLVED*,
Afghanistan,country/AFG,https://datacommons.org/browser/country/AFG
Albania,country/ALB,https://datacommons.org/browser/country/ALB
Algeria,country/DZA,https://datacommons.org/browser/country/DZA
American Samoa,country/ASM,https://datacommons.org/browser/country/ASM
Andorra,country/AND,https://datacommons.org/browser/country/AND
Angola,country/AGO,https://datacommons.org/browser/country/AGO
Anguilla,country/AIA,https://datacommons.org/browser/country/AIA
Wallis and Futuna Islands,country/WLF,https://datacommons.org/browser/country/WLF
Western Sahara,country/ESH,https://datacommons.org/browser/country/ESH
Yemen,country/YEM,https://datacommons.org/browser/country/YEM
Zambia,country/ZMB,https://datacommons.org/browser/country/ZMB
Zimbabwe,country/ZWE,https://datacommons.org/browser/country/ZWE
