dcid,date,var1,var2,provenance
dc/000qxlm93vn93,2023,0.19,6,custom/base/Prov_2
dc/5c7tz3lbln3p,2023,0.21,56,custom/base/Prov_2
dc/8zmh7ctlkbsc4,2023,0.29,6,custom/base/Prov_2
dc/2ysvc67fk1162,2023,0.31,34,custom/base/Prov_2
dc/00w9rbw8yn7x7,2023,0.37,76,custom/base/Prov_2
dc/00zjgb4rjchx3,2023,0.5,34,custom/base/Prov_2
dc/011s19rm0mzh1,2023,0.52,92,custom/base/Prov_2
dc/017y3py1dzkmg,2023,0.76,9,custom/base/Prov_2
dc/4359q0h458f01,2023,,34,custom/base/Prov_2
dc/3kds7zgl4wz26,2023,,42,custom/base/Prov_2
dc/02b53twnh3fx,2023,,75,custom/base/Prov_2
dc/dk2p9l3l8x1b6,2023,,65,custom/base/Prov_2
